,age,sport_licence,niveau_etude,region,smoker,revenu_estime_mois,situation_familiale,risque_personnel,loyer_mensuel,montant_pret
0,73,non,master,Occitanie,non,857,célibataire,0.11,1377.97,13157.101646368172
1,44,non,bac,Île-de-France,non,5245,célibataire,0.79,10000.0,32408.309271881208
2,71,non,doctorat,Auvergne-Rhône-Alpes,oui,3792,célibataire,0.13,5000.0,17975.461375021725
3,62,oui,bac,Auvergne-Rhône-Alpes,oui,3291,divorcé,0.32,10000.0,16004.737730594868
4,18,oui,bac,Corse,non,3893,célibataire,0.66,5175.89104031576,10437.682759868923
5,65,non,bac,Occitanie,non,2577,veuf,0.58,5000.0,500.0
6,22,non,master,Bretagne,oui,714,célibataire,0.46,699.57,500.0
7,54,oui,aucun,Île-de-France,oui,2629,marié,0.22,10000.0,500.0
8,61,oui,doctorat,Corse,oui,1572,divorcé,0.85,5000.0,4494.300952230585
9,28,oui,master,Hauts-de-France,oui,500,célibataire,0.66,10000.0,500.0
10,28,non,master,Bretagne,non,2847,marié,0.37,518.38,22788.001263240207
11,24,non,doctorat,Provence-Alpes-Côte d’Azur,oui,3440,marié,0.14,5175.89104031576,18070.091787237645
12,42,oui,bac+2,Bretagne,oui,4508,célibataire,0.33,831.36,8464.616164954017
13,53,oui,doctorat,Hauts-de-France,oui,885,marié,0.48,5000.0,12373.56023523041
14,57,oui,master,Île-de-France,oui,3114,célibataire,0.5,10000.0,20050.690685912497
15,22,oui,master,Occitanie,non,1501,marié,0.1,10000.0,16303.54507463377
16,45,non,bac,Occitanie,oui,1840,célibataire,0.52,596.0,500.0
17,37,oui,aucun,Auvergne-Rhône-Alpes,non,2050,marié,0.5,5175.89104031576,500.0
18,35,non,aucun,Provence-Alpes-Côte d’Azur,non,3911,divorcé,0.67,5175.89104031576,500.0
19,34,non,aucun,Île-de-France,oui,3821,marié,0.04,1141.89,500.0
20,29,non,doctorat,Auvergne-Rhône-Alpes,non,500,marié,0.5,925.87,17137.888522770147
21,24,non,aucun,Bretagne,oui,3269,célibataire,0.45,5175.89104031576,500.0
22,74,non,bac+2,Normandie,oui,500,veuf,0.22,5175.89104031576,500.0
23,53,oui,master,Île-de-France,oui,2802,marié,0.01,5000.0,21691.867312082977
24,58,oui,bac+2,Corse,non,832,marié,0.51,5175.89104031576,23167.904430812967
25,32,non,doctorat,Île-de-France,oui,4635,célibataire,0.8,10000.0,1986.2237285384024
26,51,oui,master,Provence-Alpes-Côte d’Azur,non,500,divorcé,0.96,10000.0,500.0
