sport_licence,niveau_etude,region,smoker,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,score_credit,loyer_mensuel,montant_pret,age_group
non,master,regions_touristiques_services,non,857,célibataire,,0.11,615.0,1377.97,13157.101646368172,60+
non,bac,region_parisienne,non,5245,célibataire,2.0,0.79,,10000.0,32408.309271881208,30-44
non,doctorat,regions_touristiques_services,oui,3792,célibataire,0.0,0.13,,5000.0,17975.461375021725,60+
oui,bac,regions_touristiques_services,oui,3291,divorcé,,0.32,,10000.0,16004.737730594868,60+
oui,bac,regions_touristiques_services,non,3893,célibataire,,0.66,,,10437.682759868923,18-29
non,bac,regions_touristiques_services,non,2577,veuf,,0.58,,5000.0,500.0,60+
non,master,regions_tertiaires,oui,714,célibataire,0.0,0.46,772.0,699.57,500.0,18-29
oui,aucun,region_parisienne,oui,2629,marié,,0.22,,10000.0,500.0,45-59
oui,doctorat,regions_touristiques_services,oui,1572,divorcé,,0.85,356.0,5000.0,4494.300952230585,60+
oui,master,regions_industrielles,oui,500,célibataire,2.0,0.66,356.0,10000.0,500.0,18-29
non,master,regions_tertiaires,non,2847,marié,,0.37,611.0,518.38,22788.001263240207,18-29
non,doctorat,Provence-Alpes-Côte d’Azur,oui,3440,marié,2.0,0.14,633.0,,18070.091787237645,18-29
oui,bac+2,regions_tertiaires,oui,4508,célibataire,,0.33,,831.36,8464.616164954017,30-44
oui,doctorat,regions_industrielles,oui,885,,3.0,0.48,375.0,5000.0,12373.56023523041,45-59
oui,master,region_parisienne,oui,3114,célibataire,4.0,0.5,646.0,10000.0,20050.690685912497,45-59
oui,master,regions_touristiques_services,non,1501,marié,,0.1,,10000.0,16303.54507463377,18-29
non,bac,regions_touristiques_services,oui,1840,célibataire,2.0,0.52,434.0,596.0,500.0,30-44
oui,aucun,regions_touristiques_services,non,2050,marié,5.0,0.5,634.0,,500.0,30-44
non,aucun,Provence-Alpes-Côte d’Azur,non,3911,divorcé,3.0,0.67,,,500.0,30-44
non,aucun,region_parisienne,oui,3821,marié,5.0,0.04,,1141.89,500.0,30-44
non,doctorat,regions_touristiques_services,non,500,marié,,0.5,,925.87,17137.888522770147,18-29
